label_bias,words,label_opinion,group_id,text
Biased,rejects climate science anyway,Somewhat factual but also opinionated,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Non-biased,expense ,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,happy,,,
Non-biased,,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,was happy to make,Somewhat factual but also opinionated,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,a trade-off,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,rejects ,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,happy,,,
Biased,assumed,,,
Biased,assumed,,,
Biased,assumed,,,
Biased,pregnancy loss,Somewhat factual but also opinionated,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Non-biased, murder ,Entirely factual,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Non-biased,unusual,,,
Biased,indictment ,Expresses writer’s opinion,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Biased,pregnancy loss,Expresses writer’s opinion,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Biased,pregnancy loss,,,
Non-biased,unusual,,,
Biased,pregnancy loss,Somewhat factual but also opinionated,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Non-biased,,Somewhat factual but also opinionated,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Non-biased,killed,,,
Biased,suppressed,,,
Non-biased,suppressed,Entirely factual,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased,suppressed,,,
Non-biased,,Entirely factual,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased,suppressed by the flood,,,
Biased,suppressed,Expresses writer’s opinion,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Non-biased,,Entirely factual,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Non-biased,suppressed,,,
Biased,suppressed,Entirely factual,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased, suppressed,Somewhat factual but also opinionated,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased,suppressed,Somewhat factual but also opinionated,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Non-biased,has been a stubborn,,,
Biased,stubborn,,,
Non-biased,battles,Expresses writer’s opinion,45,The tragedy of America’s 18 years in Afghanistan has been a stubborn refusal to admit the Afghan government is incapable of standing on its own
Biased,tragedy,,,
Biased,tragedy,,,
Biased,tragedy,,,
Biased,stubborn ,Somewhat factual but also opinionated,45,The tragedy of America’s 18 years in Afghanistan has been a stubborn refusal to admit the Afghan government is incapable of standing on its own
Biased,stubborn,,,
Biased,tragedy,,,
Biased,stubborn,,,
Non-biased,,Entirely factual,44,The justices threw out a challenge from gun rights groups.
Biased,threw out,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Non-biased,gun rights,Expresses writer’s opinion,44,The justices threw out a challenge from gun rights groups.
Biased,challenge,Entirely factual,44,The justices threw out a challenge from gun rights groups.
Biased, justices,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Non-biased,,Entirely factual,44,The justices threw out a challenge from gun rights groups.
Non-biased,threw,,,
Non-biased,,Entirely factual,44,The justices threw out a challenge from gun rights groups.
Biased,a challenge ,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Biased,gun rights ,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Biased,challeng,Expresses writer’s opinion,44,The justices threw out a challenge from gun rights groups.
Biased,plant,,,
Non-biased,neo-Nazi,,,
Biased,neo-Nazi propaganda ,Entirely factual,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Non-biased,,Entirely factual,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,neo-Nazi ,Expresses writer’s opinion,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Non-biased,propaganda ,Entirely factual,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,propaganda ,Somewhat factual but also opinionated,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased, revealed,Expresses writer’s opinion,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,revealed,,,
Biased,neo-Nazi propaganda,Expresses writer’s opinion,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,neo-Nazi,Somewhat factual but also opinionated,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,detained,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Biased,detained,Somewhat factual but also opinionated,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,reports,,,
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Biased,detained,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Non-biased,,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,falsified,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,falsified ,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,believe ,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,falsified,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,1950s-era Soviet sloganeering.,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,Soviet sloganeering,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,rhetoric,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,,Somewhat factual but also opinionated,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,1950s-era Soviet ,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,sloganeering,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,rhetoric,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,patriotism,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,made history,Entirely factual,11,Despite repeated setbacks
Non-biased,setbacks,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,,Somewhat factual but also opinionated,11,Despite repeated setbacks
Non-biased,Despite,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,11,Despite repeated setbacks
Non-biased,,Entirely factual,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Biased,allowed,,,
Non-biased,terrorist,Entirely factual,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Biased,helped in the fight ,Somewhat factual but also opinionated,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,decision,Entirely factual,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,,Entirely factual,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,allowed,Somewhat factual but also opinionated,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,U.S. Kurdish allies,Somewhat factual but also opinionated,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Biased,helped,,,
Biased,remove,,,
Non-biased, illegal,,,
Biased,migrants ,Expresses writer’s opinion,38,Last week
Biased, amassing,,,
Biased,illegal,Somewhat factual but also opinionated,38,Last week
Biased,illegal,Somewhat factual but also opinionated,38,Last week
Biased, Greece.,,,
Non-biased,,Entirely factual,38,Last week
Non-biased,amassing,,,
Non-biased,Last wee,,,
Biased,broke,,,
Biased,racist,,,
Biased,pushed,Expresses writer’s opinion,62,In the wake of the El Paso shooting
Biased,racist ,Expresses writer’s opinion,62,In the wake of the El Paso shooting
Biased,prominence,,,
Biased, racist manifesto,,,
Biased,white,,,
Non-biased,,Expresses writer’s opinion,62,In the wake of the El Paso shooting
Biased,racist ,Entirely factual,62,In the wake of the El Paso shooting
Non-biased,white supremacist,,,
Non-biased,racist,,,
Non-biased,,Entirely factual,62,In the wake of the El Paso shooting
Non-biased,,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,parental love,,,
Biased,triggered,,,
Non-biased,emotional,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,emotional,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Biased, abortion ,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,emotional debate,Expresses writer’s opinion,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Biased,triggered,,,
Non-biased,,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,sacrifices,,,
Non-biased,,Entirely factual,18,Like many Americans also crippled by student loans
Non-biased,,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Non-biased,,Entirely factual,18,Like many Americans also crippled by student loans
Biased,crippled,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Non-biased,crippled,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,crippled,,,
Biased,crippled ,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,crippled,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,crippled,,,
Biased,crippled ,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,bickered,,,
Biased,divided,,,
Biased,bickered,,,
Biased, bickered,Somewhat factual but also opinionated,63,Just a few weeks later
Biased,bickered ,Somewhat factual but also opinionated,63,Just a few weeks later
Biased,bickered,Expresses writer’s opinion,63,Just a few weeks later
Non-biased,bickered ,Somewhat factual but also opinionated,63,Just a few weeks later
Non-biased,bickered,,,
Biased,bickered ,Somewhat factual but also opinionated,63,Just a few weeks later
