label_bias,words,label_opinion,group_id,text
Biased,rejects climate science anyway,Somewhat factual but also opinionated,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Non-biased,expense ,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,was happy to make,Somewhat factual but also opinionated,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,a trade-off,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,rejects ,Expresses writer’s opinion,1,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 
Biased,pregnancy loss,Somewhat factual but also opinionated,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Non-biased, murder ,Entirely factual,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Biased,indictment ,Expresses writer’s opinion,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Biased,pregnancy loss,Expresses writer’s opinion,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Biased,pregnancy loss,Somewhat factual but also opinionated,30,Though the indictment of a woman for her own pregnancy loss is unusual in Alabama
Non-biased,suppressed,Entirely factual,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased,suppressed,Expresses writer’s opinion,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased,suppressed,Entirely factual,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased, suppressed,Somewhat factual but also opinionated,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Biased,suppressed,Somewhat factual but also opinionated,39,Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.
Non-biased,battles,Expresses writer’s opinion,45,The tragedy of America’s 18 years in Afghanistan has been a stubborn refusal to admit the Afghan government is incapable of standing on its own
Biased,stubborn ,Somewhat factual but also opinionated,45,The tragedy of America’s 18 years in Afghanistan has been a stubborn refusal to admit the Afghan government is incapable of standing on its own
Biased,threw out,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Non-biased,gun rights,Expresses writer’s opinion,44,The justices threw out a challenge from gun rights groups.
Biased,challenge,Entirely factual,44,The justices threw out a challenge from gun rights groups.
Biased, justices,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Biased,a challenge ,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Biased,gun rights ,Somewhat factual but also opinionated,44,The justices threw out a challenge from gun rights groups.
Biased,challeng,Expresses writer’s opinion,44,The justices threw out a challenge from gun rights groups.
Biased,neo-Nazi propaganda ,Entirely factual,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,neo-Nazi ,Expresses writer’s opinion,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Non-biased,propaganda ,Entirely factual,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,propaganda ,Somewhat factual but also opinionated,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased, revealed,Expresses writer’s opinion,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,neo-Nazi propaganda,Expresses writer’s opinion,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Biased,neo-Nazi,Somewhat factual but also opinionated,77,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.
Non-biased,detained,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Biased,detained,Somewhat factual but also opinionated,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Biased,detained,Entirely factual,13,After the airstrike that killed Iranian Gen. Qasem Soleimani
Biased,falsified,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,falsified ,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,believe ,Somewhat factual but also opinionated,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Non-biased,falsified,Entirely factual,5,Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated
Biased,1950s-era Soviet sloganeering.,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,Soviet sloganeering,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,rhetoric,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,1950s-era Soviet ,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,sloganeering,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Biased,rhetoric,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,patriotism,Expresses writer’s opinion,80,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.
Non-biased,made history,Entirely factual,11,Despite repeated setbacks
Non-biased,setbacks,Entirely factual,11,Despite repeated setbacks
Non-biased,Despite,Entirely factual,11,Despite repeated setbacks
Non-biased,terrorist,Entirely factual,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Biased,helped in the fight ,Somewhat factual but also opinionated,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,decision,Entirely factual,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,allowed,Somewhat factual but also opinionated,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Non-biased,U.S. Kurdish allies,Somewhat factual but also opinionated,57,Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group
Biased,migrants ,Expresses writer’s opinion,38,Last week
Biased,illegal,Somewhat factual but also opinionated,38,Last week
Biased,illegal,Somewhat factual but also opinionated,38,Last week
Biased,pushed,Expresses writer’s opinion,62,In the wake of the El Paso shooting
Biased,racist ,Expresses writer’s opinion,62,In the wake of the El Paso shooting
Biased,racist ,Entirely factual,62,In the wake of the El Paso shooting
Non-biased,emotional,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,emotional,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Biased, abortion ,Entirely factual,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Non-biased,emotional debate,Expresses writer’s opinion,16,Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights
Biased,crippled,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Non-biased,crippled,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,crippled ,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,crippled,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased,crippled ,Somewhat factual but also opinionated,18,Like many Americans also crippled by student loans
Biased, bickered,Somewhat factual but also opinionated,63,Just a few weeks later
Biased,bickered ,Somewhat factual but also opinionated,63,Just a few weeks later
Biased,bickered,Expresses writer’s opinion,63,Just a few weeks later
Non-biased,bickered ,Somewhat factual but also opinionated,63,Just a few weeks later
Biased,bickered ,Somewhat factual but also opinionated,63,Just a few weeks later
Biased,abortion ,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,abortion ,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,divisive,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Biased,war-torn,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,war-torn,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,war-torn,Somewhat factual but also opinionated,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Biased, war-torn,Somewhat factual but also opinionated,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Biased,lazy narcissist ,Somewhat factual but also opinionated,80,For a lazy narcissist like Trump
Biased, lazy narcissist,Expresses writer’s opinion,80,For a lazy narcissist like Trump
Biased,narcissist,Somewhat factual but also opinionated,80,For a lazy narcissist like Trump
Biased,useless and uninteresting,Expresses writer’s opinion,76,Just off the top of my head
Biased,defended ,Somewhat factual but also opinionated,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Non-biased,defended ,Entirely factual,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Biased,raising Miller’s Jewish background,Expresses writer’s opinion,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Biased,defended ,Somewhat factual but also opinionated,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Biased,ultimate,Somewhat factual but also opinionated,80,When carrying a firearm
Biased,ultimate power,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased,ultimate power,Entirely factual,80,When carrying a firearm
Biased,ultimate,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased, ultimate power,Entirely factual,80,When carrying a firearm
Non-biased,stricter,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased, Jacinda Ardern,Expresses writer’s opinion,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,failure,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled ,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,evils,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils of wealth,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,wealth inequality,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,the evils ,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils,Expresses writer’s opinion,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,little,Expresses writer’s opinion,38,The second side is represented by lenders
Biased,in my view,Expresses writer’s opinion,38,The second side is represented by lenders
Non-biased, second ,Expresses writer’s opinion,38,The second side is represented by lenders
Non-biased,LGBTQ-hostile,Entirely factual,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,hostile,Somewhat factual but also opinionated,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,LGBTQ-hostile,Somewhat factual but also opinionated,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,most LGBTQ-hostile,Expresses writer’s opinion,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,LGBTQ-hostile,Expresses writer’s opinion,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,LGBTQ-hostile,Somewhat factual but also opinionated,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased, despite ,Expresses writer’s opinion,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,efficiency and anonymity,Expresses writer’s opinion,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Biased,a sobering warning,Expresses writer’s opinion,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Non-biased,sobering ,Somewhat factual but also opinionated,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Non-biased,sobering,Entirely factual,82,The ADL report represents a sobering warning about the reach of white supremacist groups
